Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
7,1.14,0,0.0509914,0.000319129,1_PassiveLoad
7.1,1.142,0,0.0519486,0.000323737,1_PassiveLoad
7.2,1.144,0,0.0529129,0.000328348,1_PassiveLoad
7.3,1.146,0,0.0538843,0.000332961,1_PassiveLoad
7.4,1.148,0,0.054863,0.000337575,1_PassiveLoad
7.5,1.15,0,0.0558488,0.000342192,1_PassiveLoad
7.6,1.152,0,0.0568418,0.000346811,1_PassiveLoad
7.7,1.154,0,0.057842,0.000351432,1_PassiveLoad
7.8,1.156,0,0.0588496,0.000356055,1_PassiveLoad
7.9,1.158,0,0.0598645,0.00036068,1_PassiveLoad
8,1.16,0,0.0608867,0.000365308,1_PassiveLoad
8.1,1.162,0,0.0619162,0.000369937,1_PassiveLoad
8.2,1.164,0,0.0629532,0.000374569,1_PassiveLoad
8.3,1.166,0,0.0639976,0.000379203,1_PassiveLoad
8.4,1.168,0,0.0650494,0.000383839,1_PassiveLoad
8.5,1.17,0,0.0661087,0.000388477,1_PassiveLoad
8.6,1.172,0,0.0671756,0.000393118,1_PassiveLoad
8.7,1.174,0,0.06825,0.000397761,1_PassiveLoad
8.8,1.176,0,0.0693319,0.000402406,1_PassiveLoad
8.9,1.178,0,0.0704215,0.000407054,1_PassiveLoad
9,1.18,0,0.0715186,0.000411704,1_PassiveLoad
9.1,1.182,0,0.0726235,0.000416356,1_PassiveLoad
9.2,1.184,0,0.073736,0.000421011,1_PassiveLoad
9.3,1.186,0,0.0748562,0.000425668,1_PassiveLoad
9.4,1.188,0,0.0759842,0.000430328,1_PassiveLoad
9.5,1.19,0,0.07712,0.00043499,1_PassiveLoad
9.6,1.192,0,0.0782636,0.000439654,1_PassiveLoad
9.7,1.194,0,0.079415,0.000444321,1_PassiveLoad
9.8,1.196,0,0.0805743,0.00044899,1_PassiveLoad
9.9,1.198,0,0.0817415,0.000453662,1_PassiveLoad
10,1.2,0,0.0829166,0.000458337,1_PassiveLoad
10.1,1.2,0,0.0829166,0.000458337,2_UnloadTrans
10.2,1.198,0,0.0774694,0.000453662,2_UnloadTrans
10.3,1.196,0,0.0722299,0.00044899,2_UnloadTrans
10.4,1.194,0,0.0672151,0.000444321,2_UnloadTrans
10.5,1.192,0,0.0624385,0.000439654,2_UnloadTrans
10.6,1.19,0,0.0579094,0.00043499,2_UnloadTrans
10.7,1.188,0,0.0536334,0.000430328,2_UnloadTrans
10.8,1.186,0,0.0496125,0.000425668,2_UnloadTrans
10.9,1.184,0,0.0458456,0.000421011,2_UnloadTrans
11,1.182,0,0.0423289,0.000416356,2_UnloadTrans
11.1,1.18,0,0.0390559,0.000411704,2_UnloadTrans
11.2,1.178,0,0.0360185,0.000407054,2_UnloadTrans
11.3,1.176,0,0.0332069,0.000402406,2_UnloadTrans
11.4,1.174,0,0.0306104,0.000397761,2_UnloadTrans
11.5,1.172,0,0.0282172,0.000393118,2_UnloadTrans
11.6,1.17,0,0.0260154,0.000388477,2_UnloadTrans
11.7,1.168,0,0.0239927,0.000383839,2_UnloadTrans
11.8,1.166,0,0.0221368,0.000379203,2_UnloadTrans
11.9,1.164,0,0.0204359,0.000374569,2_UnloadTrans
12,1.162,0,0.0188783,0.000369937,2_UnloadTrans
12.1,1.16,0,0.0174529,0.000365308,2_UnloadTrans
12.2,1.158,0,0.016149,0.00036068,2_UnloadTrans
12.3,1.156,0,0.0149568,0.000356055,2_UnloadTrans
12.4,1.154,0,0.0138667,0.000351432,2_UnloadTrans
12.5,1.152,0,0.01287,0.000346811,2_UnloadTrans
12.6,1.15,0,0.0119587,0.000342192,2_UnloadTrans
12.7,1.148,0.02,0.0154896,0.000337575,2_UnloadTrans
12.8,1.146,0.04,0.0186833,0.000332961,2_UnloadTrans
12.9,1.144,0.06,0.0215801,0.000328348,2_UnloadTrans
