Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
7.4,1.111,0,0.0378933,0.000252512,1_PassiveLoad
7.5,1.1125,0,0.0385356,0.000255948,1_PassiveLoad
7.6,1.114,0,0.0391817,0.000259386,1_PassiveLoad
7.7,1.1155,0,0.0398316,0.000262824,1_PassiveLoad
7.8,1.117,0,0.0404853,0.000266264,1_PassiveLoad
7.9,1.1185,0,0.0411428,0.000269704,1_PassiveLoad
8,1.12,0,0.0418041,0.000273146,1_PassiveLoad
8.1,1.1215,0,0.0424692,0.000276588,1_PassiveLoad
8.2,1.123,0,0.0431382,0.000280031,1_PassiveLoad
8.3,1.1245,0,0.043811,0.000283476,1_PassiveLoad
8.4,1.126,0,0.0444877,0.000286921,1_PassiveLoad
8.5,1.1275,0,0.0451682,0.000290368,1_PassiveLoad
8.6,1.129,0,0.0458526,0.000293815,1_PassiveLoad
8.7,1.1305,0,0.0465409,0.000297263,1_PassiveLoad
8.8,1.132,0,0.0472331,0.000300713,1_PassiveLoad
8.9,1.1335,0,0.0479293,0.000304164,1_PassiveLoad
9,1.135,0,0.0486293,0.000307615,1_PassiveLoad
9.1,1.1365,0,0.0493333,0.000311068,1_PassiveLoad
9.2,1.138,0,0.0500413,0.000314522,1_PassiveLoad
9.3,1.1395,0,0.0507532,0.000317977,1_PassiveLoad
9.4,1.141,0,0.0514691,0.000321433,1_PassiveLoad
9.5,1.1425,0,0.052189,0.00032489,1_PassiveLoad
9.6,1.144,0,0.0529129,0.000328348,1_PassiveLoad
9.7,1.1455,0,0.0536408,0.000331807,1_PassiveLoad
9.8,1.147,0,0.0543728,0.000335268,1_PassiveLoad
9.9,1.1485,0,0.0551087,0.000338729,1_PassiveLoad
10,1.15,0,0.0558488,0.000342192,1_PassiveLoad
10.1,1.1485,0,0.053589,0.000338729,2_UnloadTrans
10.2,1.147,0,0.0513943,0.000335268,2_UnloadTrans
10.3,1.1455,0,0.0492658,0.000331807,2_UnloadTrans
10.4,1.144,0,0.0472041,0.000328348,2_UnloadTrans
10.5,1.1425,0,0.0452096,0.00032489,2_UnloadTrans
10.6,1.141,0,0.0432826,0.000321433,2_UnloadTrans
10.7,1.1395,0,0.0414228,0.000317977,2_UnloadTrans
10.8,1.138,0,0.0396299,0.000314522,2_UnloadTrans
10.9,1.1365,0,0.0379033,0.000311068,2_UnloadTrans
11,1.135,0,0.0362422,0.000307615,2_UnloadTrans
11.1,1.1335,0,0.0346457,0.000304164,2_UnloadTrans
11.2,1.132,0,0.0331125,0.000300713,2_UnloadTrans
11.3,1.1305,0,0.0316415,0.000297263,2_UnloadTrans
11.4,1.129,0,0.0302312,0.000293815,2_UnloadTrans
11.5,1.1275,0,0.02888,0.000290368,2_UnloadTrans
11.6,1.126,0,0.0275864,0.000286921,2_UnloadTrans
11.7,1.1245,0,0.0263487,0.000283476,2_UnloadTrans
11.8,1.123,0,0.0251652,0.000280031,2_UnloadTrans
11.9,1.1215,0,0.024034,0.000276588,2_UnloadTrans
12,1.12,0,0.0229534,0.000273146,2_UnloadTrans
12.1,1.1185,0,0.0219216,0.000269704,2_UnloadTrans
12.2,1.117,0,0.0209368,0.000266264,2_UnloadTrans
12.3,1.1155,0,0.019997,0.000262824,2_UnloadTrans
12.4,1.114,0,0.0191006,0.000259386,2_UnloadTrans
12.5,1.1125,0,0.0182458,0.000255948,2_UnloadTrans
12.6,1.111,0,0.0174307,0.000252512,2_UnloadTrans
12.7,1.1095,0,0.0166538,0.000249076,2_UnloadTrans
12.8,1.108,0,0.0159132,0.000245641,2_UnloadTrans
12.9,1.1065,0,0.0152075,0.000242207,2_UnloadTrans
13,1.105,0,0.0145349,0.000238774,2_UnloadTrans
13.1,1.1035,0,0.013894,0.000235342,2_UnloadTrans
13.2,1.102,0,0.0132833,0.000231911,2_UnloadTrans
13.3,1.1005,0,0.0127013,0.00022848,2_UnloadTrans
13.4,1.099,0,0.0121467,0.000225051,2_UnloadTrans
13.5,1.0975,0,0.0116181,0.000221622,2_UnloadTrans
13.6,1.096,0,0.0111143,0.000218194,2_UnloadTrans
13.7,1.0945,0,0.010634,0.000214767,2_UnloadTrans
13.8,1.093,0,0.010176,0.00021134,2_UnloadTrans
13.9,1.0915,0,0.00973932,0.000207915,2_UnloadTrans
14,1.09,0,0.00932276,0.00020449,2_UnloadTrans
14.1,1.0885,0,0.00892535,0.000201066,2_UnloadTrans
14.2,1.087,0,0.0085461,0.000197643,2_UnloadTrans
14.3,1.0855,0,0.00818408,0.000194221,2_UnloadTrans
14.4,1.084,0,0.00783841,0.000190799,2_UnloadTrans
14.5,1.0825,0,0.00750825,0.000187378,2_UnloadTrans
14.6,1.081,0,0.0071928,0.000183958,2_UnloadTrans
14.7,1.0795,0,0.00689128,0.000180538,2_UnloadTrans
14.8,1.078,0,0.00660299,0.00017712,2_UnloadTrans
14.9,1.0765,0,0.00632724,0.000173701,2_UnloadTrans
15,1.075,0,0.00606337,0.000170284,2_UnloadTrans
15.1,1.0735,0,0.00581076,0.000166867,2_UnloadTrans
15.2,1.072,0,0.00556883,0.000163451,2_UnloadTrans
15.3,1.0705,0,0.00533702,0.000160036,2_UnloadTrans
15.4,1.069,0,0.00511481,0.000156621,2_UnloadTrans
15.5,1.0675,0,0.00490169,0.000153206,2_UnloadTrans
15.6,1.066,0,0.00469719,0.000149793,2_UnloadTrans
15.7,1.0645,0,0.00450087,0.00014638,2_UnloadTrans
15.8,1.063,0,0.00431229,0.000142967,2_UnloadTrans
15.9,1.0615,0,0.00413106,0.000139555,2_UnloadTrans
16,1.06,0,0.00395678,0.000136144,2_UnloadTrans
16.1,1.0585,0.025,0.00795269,0.000132733,2_UnloadTrans
16.2,1.057,0.05,0.0126431,0.000129323,2_UnloadTrans
16.3,1.0555,0.075,0.0175686,0.000125913,2_UnloadTrans
16.4,1.054,0.1,0.0224959,0.000122504,2_UnloadTrans
16.5,1.0525,0.125,0.0273223,0.000119095,2_UnloadTrans
16.6,1.051,0.15,0.0320074,0.000115687,2_UnloadTrans
16.7,1.0495,0.175,0.0365392,0.000112279,2_UnloadTrans
16.8,1.048,0.2,0.0409176,0.000108872,2_UnloadTrans
16.9,1.0465,0.225,0.0451472,0.000105465,2_UnloadTrans
17,1.045,0.25,0.0492341,0.000102058,2_UnloadTrans
17.1,1.0435,0.275,0.0529265,9.86523e-05,2_UnloadTrans
17.2,1.042,0.3,0.055841,9.52467e-05,2_UnloadTrans
17.3,1.0405,0.325,0.0587111,9.18415e-05,2_UnloadTrans
17.4,1.039,0.35,0.0615359,8.84366e-05,2_UnloadTrans
17.5,1.0375,0.375,0.0643145,8.50322e-05,2_UnloadTrans
17.6,1.036,0.4,0.0670458,8.1628e-05,2_UnloadTrans
17.7,1.0345,0.425,0.0697291,7.82242e-05,2_UnloadTrans
17.8,1.033,0.45,0.0723633,7.48208e-05,2_UnloadTrans
17.9,1.0315,0.475,0.0749476,7.14176e-05,2_UnloadTrans
18,1.03,0.5,0.0774812,6.80148e-05,2_UnloadTrans
18.1,1.0285,0.525,0.079963,6.46123e-05,2_UnloadTrans
18.2,1.027,0.55,0.0823923,6.121e-05,2_UnloadTrans
18.3,1.0255,0.575,0.0847682,5.7808e-05,2_UnloadTrans
18.4,1.024,0.6,0.0870898,5.44062e-05,2_UnloadTrans
18.5,1.0225,0.625,0.0893562,5.10047e-05,2_UnloadTrans
18.6,1.021,0.65,0.0915666,4.76034e-05,2_UnloadTrans
18.7,1.0195,0.675,0.0937202,4.42022e-05,2_UnloadTrans
18.8,1.018,0.7,0.0958161,4.08013e-05,2_UnloadTrans
18.9,1.0165,0.725,0.0978535,3.74006e-05,2_UnloadTrans
19,1.015,0.75,0.0998316,3.4e-05,2_UnloadTrans
19.1,1.0135,0.775,0.10175,3.05996e-05,2_UnloadTrans
19.2,1.012,0.8,0.103607,2.71993e-05,2_UnloadTrans
19.3,1.0105,0.825,0.105402,2.37991e-05,2_UnloadTrans
19.4,1.009,0.85,0.107135,2.0399e-05,2_UnloadTrans
19.5,1.0075,0.875,0.108804,1.69991e-05,2_UnloadTrans
19.6,1.006,0.9,0.11041,1.35992e-05,2_UnloadTrans
19.7,1.0045,0.925,0.11195,1.01993e-05,2_UnloadTrans
19.8,1.003,0.95,0.113409,6.79952e-06,2_UnloadTrans
19.9,1.0015,0.975,0.114784,3.39975e-06,2_UnloadTrans
20,1,1,0.116077,0,2_UnloadTrans
20.1,1.0015,1,0.117769,3.39975e-06,3_ActiveReload
20.2,1.003,1,0.119354,6.79952e-06,3_ActiveReload
20.3,1.0045,1,0.120931,1.01993e-05,3_ActiveReload
20.4,1.006,1,0.1225,1.35992e-05,3_ActiveReload
20.5,1.0075,1,0.124061,1.69991e-05,3_ActiveReload
20.6,1.009,1,0.125615,2.0399e-05,3_ActiveReload
20.7,1.0105,1,0.12716,2.37991e-05,3_ActiveReload
20.8,1.012,1,0.128697,2.71993e-05,3_ActiveReload
20.9,1.0135,1,0.130226,3.05996e-05,3_ActiveReload
21,1.015,1,0.131747,3.4e-05,3_ActiveReload
21.1,1.0165,1,0.133259,3.74006e-05,3_ActiveReload
21.2,1.018,1,0.134763,4.08013e-05,3_ActiveReload
21.3,1.0195,1,0.136259,4.42022e-05,3_ActiveReload
21.4,1.021,1,0.137746,4.76034e-05,3_ActiveReload
21.5,1.0225,1,0.139224,5.10047e-05,3_ActiveReload
21.6,1.024,1,0.140694,5.44062e-05,3_ActiveReload
21.7,1.0255,1,0.142155,5.7808e-05,3_ActiveReload
21.8,1.027,1,0.143608,6.121e-05,3_ActiveReload
21.9,1.0285,1,0.145051,6.46123e-05,3_ActiveReload
22,1.03,1,0.146486,6.80148e-05,3_ActiveReload
