Phase,Stretch,Alpha,Stress,Energy
Loading,1.1065,0,35988.6,1649.53
Loading,1.108,0,36619.8,1698.71
Loading,1.1095,0,37254.7,1748.68
Loading,1.111,0,37893.3,1799.44
Loading,1.1125,0,38535.6,1851
Loading,1.114,0,39181.7,1903.36
Loading,1.1155,0,39831.6,1956.52
Loading,1.117,0,40485.3,2010.48
Loading,1.1185,0,41142.8,2065.26
Loading,1.12,0,41804.1,2120.84
Loading,1.1215,0,42469.2,2177.23
Loading,1.123,0,43138.2,2234.44
Loading,1.1245,0,43811,2292.47
Loading,1.126,0,44487.7,2351.32
Loading,1.1275,0,45168.2,2411
Loading,1.129,0,45852.6,2471.51
Loading,1.1305,0,46540.9,2532.84
Loading,1.132,0,47233.1,2595.01
Loading,1.1335,0,47929.3,2658.02
Loading,1.135,0,48629.3,2721.87
Loading,1.1365,0,49333.3,2786.56
Loading,1.138,0,50041.3,2852.09
Loading,1.1395,0,50753.2,2918.48
Loading,1.141,0,51469.1,2985.71
Loading,1.1425,0,52189,3053.8
Loading,1.144,0,52912.9,3122.75
Loading,1.1455,0,53640.8,3192.56
Loading,1.147,0,54372.8,3263.24
Loading,1.1485,0,55108.7,3334.78
Loading,1.15,0,55848.8,3407.19
Unloading,1.15,0,55848.8,3407.19
Unloading,1.1485,0.01,55886.7,3609.72
Unloading,1.147,0.02,55954.8,3808.61
Unloading,1.1455,0.03,56052.2,4003.83
Unloading,1.144,0.04,56178.3,4195.39
Unloading,1.1425,0.05,56332.3,4383.25
Unloading,1.141,0.06,56513.8,4567.4
Unloading,1.1395,0.07,56721.9,4747.83
Unloading,1.138,0.08,56956,4924.53
Unloading,1.1365,0.09,57215.4,5097.48
Unloading,1.135,0.1,57499.5,5266.67
Unloading,1.1335,0.11,57807.5,5432.09
Unloading,1.132,0.12,58138.8,5593.74
Unloading,1.1305,0.13,58492.8,5751.59
Unloading,1.129,0.14,58868.7,5905.65
Unloading,1.1275,0.15,59265.9,6055.91
Unloading,1.126,0.16,59683.7,6202.35
Unloading,1.1245,0.17,60121.4,6344.98
Unloading,1.123,0.18,60578.3,6483.79
Unloading,1.1215,0.19,61053.9,6618.77
Unloading,1.12,0.2,61547.4,6749.91
Unloading,1.1185,0.21,62058.1,6877.23
Unloading,1.117,0.22,62585.4,7000.71
Unloading,1.1155,0.23,63128.5,7120.36
Unloading,1.114,0.24,63687,7236.17
Unloading,1.1125,0.25,64260,7348.14
Unloading,1.111,0.26,64846.8,7456.28
Unloading,1.1095,0.27,65447,7560.59
Unloading,1.108,0.28,66059.6,7661.06
Unloading,1.1065,0.29,66684.2,7757.71
Unloading,1.105,0.3,67320.1,7850.55
Unloading,1.1035,0.31,67966.5,7939.56
Unloading,1.102,0.32,68622.8,8024.77
Unloading,1.1005,0.33,69288.4,8106.17
Unloading,1.099,0.34,69962.5,8183.78
Unloading,1.0975,0.35,70644.6,8257.61
Unloading,1.096,0.36,71334,8327.66
Unloading,1.0945,0.37,72030,8393.94
Unloading,1.093,0.38,72732,8456.47
Unloading,1.0915,0.39,73439.3,8515.26
Unloading,1.09,0.4,74151.3,8570.32
Unloading,1.0885,0.41,74867.3,8621.66
Unloading,1.087,0.42,75586.6,8669.31
Unloading,1.0855,0.43,76308.7,8713.27
Unloading,1.084,0.44,77032.9,8753.56
Unloading,1.0825,0.45,77758.5,8790.19
Unloading,1.081,0.46,78484.9,8823.2
Unloading,1.0795,0.47,79211.5,8852.59
Unloading,1.078,0.48,79937.5,8878.38
Unloading,1.0765,0.49,80662.5,8900.6
Unloading,1.075,0.5,81385.8,8919.27
